	AMIKACIN_R	AMIKACIN_S	AMOXICILLIN_CLAVULANATE_R	AMOXICILLIN_CLAVULANATE_S	AMOXICILLIN_R	AMOXICILLIN_S	CAPREOMYCIN_R	CAPREOMYCIN_S	CIPROFLOXACIN_R	CIPROFLOXACIN_S	CLARITHROMYCIN_R	CLARITHROMYCIN_S	CLOFAZIMINE_R	CLOFAZIMINE_S	CYCLOSERINE_R	CYCLOSERINE_S	ETHAMBUTOL_R	ETHAMBUTOL_S	ETHIONAMIDE_R	ETHIONAMIDE_S	GATIFLOXACIN_R	GATIFLOXACIN_S	ISONIAZID_R	ISONIAZID_S	KANAMYCIN_R	KANAMYCIN_S	LEVOFLOXACIN_R	LEVOFLOXACIN_S	MOXIFLOXACIN_R	MOXIFLOXACIN_S	NICOTINAMIDE_R	NICOTINAMIDE_S	OFLOXACIN_R	OFLOXACIN_S	PARA-AMINOSALICYLIC_ACID_R	PARA-AMINOSALICYLIC_ACID_S	PROTHIONAMIDE_R	PROTHIONAMIDE_S	PYRAZINAMIDE_R	PYRAZINAMIDE_S	RIFABUTIN_R	RIFABUTIN_S	RIFAMPICIN_R	RIFAMPICIN_S	STREPTOMYCIN_R	STREPTOMYCIN_S	country	date	lineage1	lineage2	lineage3	lineage4	lineage5	lineage6	lineage7	strain
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2003	0	0	0	0	0	0	0	SAMEA1485407
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	Malawi	1997	0	0	0	0	0	0	0	SAMEA1485406
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2004	0	0	0	0	0	0	0	SAMEA1485405
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2004	0	0	0	1	0	0	0	SAMEA1485404
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2003	0	0	0	0	0	0	0	SAMEA1485403
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	Malawi	1997	0	0	0	0	0	0	0	SAMEA1485402
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	Malawi	1997	0	0	0	0	0	0	0	SAMEA1485401
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2003	0	0	0	0	0	0	0	SAMEA1485400
8	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	Not Provided		0	1	0	0	0	0	0	01R0647
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2002	0	0	0	0	0	0	0	SAMEA1485409
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2002	0	0	0	0	0	0	0	SAMEA1485408
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2005	0	0	0	0	0	0	0	SAMEA1556808
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2006	0	0	0	0	0	0	0	SAMEA1556809
13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	Not Provided		0	0	0	1	0	0	0	01R0238
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2006	0	0	0	0	0	0	0	SAMEA1556800
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Malawi	2005	0	0	0	0	0	0	0	SAMEA1556801
